button,tonelow,tonehigh
DTMF1,697,1209
DTMF2,697,1336
DTMF3,697,1477
DTMF4,770,1209
DTMF5,770,1336
DTMF6,770,1477
DTMF7,852,1209
DTMF8,852,1336
DTMF9,852,1477
DTMF0,941,1209
DTMFH,941,1336
DTMFS,941,1477
answer,852,0
hangup,852,0
button,852,0
busy,852,0
